Timestamp,Context,Provider,Model,Prompt Tokens,Completion Tokens,Cost ($),Cumulative Cost ($)
2026-01-05 14:04:27,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8337,1355,0.001376,0.001376
2026-01-05 14:04:35,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7869,1613,0.001432,0.002808
2026-01-05 14:04:42,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7976,1536,0.001412,0.004220
2026-01-05 14:04:50,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7895,1291,0.001306,0.005526
2026-01-05 14:04:58,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8022,1628,0.001453,0.006979
2026-01-05 14:05:07,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7532,1732,0.001446,0.008425
2026-01-05 14:05:15,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7643,1617,0.001411,0.009836
2026-01-05 14:05:24,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7934,1820,0.001521,0.011357
2026-01-05 14:05:32,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8288,1885,0.001583,0.012940
2026-01-05 14:05:40,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8286,1522,0.001437,0.014377
2026-01-05 14:05:48,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8341,1626,0.001485,0.015862
2026-01-05 14:05:56,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7716,1423,0.001341,0.017203
2026-01-05 14:06:03,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7789,1531,0.001391,0.018594
2026-01-05 14:06:11,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7396,1689,0.001415,0.020009
2026-01-05 14:06:22,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7589,2300,0.001679,0.021688
2026-01-05 14:06:31,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8508,1796,0.001569,0.023257
2026-01-05 14:06:40,activity_extraction,openrouter,google/gemini-2.5-flash-lite,6183,1610,0.001262,0.024519
2026-01-05 14:06:48,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8100,1638,0.001465,0.025984
2026-01-05 14:06:56,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7566,1542,0.001373,0.027357
2026-01-05 14:07:05,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7712,1835,0.001505,0.028862
2026-01-05 14:07:14,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7291,1669,0.001397,0.030259
2026-01-05 14:07:22,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7956,1376,0.001346,0.031605
2026-01-05 14:07:30,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8052,1729,0.001497,0.033102
2026-01-05 14:07:38,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7512,1646,0.00141,0.034512
2026-01-05 14:07:47,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7692,1780,0.001481,0.035993
2026-01-05 14:07:57,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7727,1980,0.001565,0.037558
2026-01-05 14:08:04,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8348,1637,0.00149,0.039048
2026-01-05 14:08:12,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7443,1575,0.001374,0.040422
2026-01-05 14:08:20,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7476,1660,0.001412,0.041834
2026-01-05 14:08:28,activity_extraction,openrouter,google/gemini-2.5-flash-lite,2914,1524,0.000901,0.042735
2026-01-05 14:08:37,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7891,1600,0.001429,0.044164
2026-01-05 14:08:45,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7478,1653,0.001409,0.045573
2026-01-05 14:08:54,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8130,1875,0.001563,0.047136
2026-01-05 14:09:02,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8415,1632,0.001494,0.048630
2026-01-05 14:09:10,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7703,1713,0.001455,0.050085
2026-01-05 14:09:18,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7564,1715,0.001442,0.051527
2026-01-05 14:09:26,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7548,1563,0.00138,0.052907
2026-01-05 14:09:34,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8415,1622,0.00149,0.054397
2026-01-05 14:09:42,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8093,1888,0.001564,0.055961
2026-01-05 14:09:50,activity_extraction,openrouter,google/gemini-2.5-flash-lite,6515,1543,0.001269,0.057230
2026-01-05 14:09:58,activity_extraction,openrouter,google/gemini-2.5-flash-lite,5855,1402,0.001146,0.058376
2026-01-05 14:10:05,activity_extraction,openrouter,google/gemini-2.5-flash-lite,5857,1405,0.001148,0.059524
2026-01-05 14:10:15,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7610,1697,0.00144,0.060964
2026-01-05 14:10:23,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7352,1694,0.001413,0.062377
2026-01-05 14:10:30,activity_extraction,openrouter,google/gemini-2.5-flash-lite,5855,1405,0.001148,0.063525
2026-01-05 14:10:38,activity_extraction,openrouter,google/gemini-2.5-flash-lite,5935,1518,0.001201,0.064726
2026-01-05 14:10:46,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8209,1669,0.001488,0.066214
2026-01-05 14:10:55,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7818,1886,0.001536,0.067750
2026-01-05 14:11:03,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8099,1796,0.001528,0.069278
2026-01-05 14:11:21,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7789,1579,0.001411,0.070689
2026-01-05 14:11:30,activity_extraction,openrouter,google/gemini-2.5-flash-lite,6843,1779,0.001396,0.072085
2026-01-05 14:11:39,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7490,1509,0.001353,0.073438
2026-01-05 14:11:47,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8140,1825,0.001544,0.074982
